code,name,zone,address,sequence
"MATM1","MATOSINHOS MERCADO","MTS1","AV.ENG.DUARTE PACHECO",1
"MATM3","MATOSINHOS MERCADO","MTS1","R.ÁLVARO CASTELÕES",2
"PDZ2","1º DE DEZEMBRO","MTS1","R.ÁLVARO CASTELÕES",3
"GODH4","GODINHO","MTS1","R.ÁLVARO CASTELÕES",4
"PQBT4","PQ BASÍLIO TELES","MTS1","R.TOMÁS RIBEIRO",5
"MATC2","MATOSINHOS (CMM)","MTS1","AV.D.AFONSO HENRIQUES",6
"CRV2","CARCAVELOS","MTS1","AV.D.AFONSO HENRIQUES",7
"DNAP4","D. NUNO A. PEREIRA","MTS1","R.D.NUN''ÁLVARES PEREIRA",8
"ESGZ2","E. SEC. G. ZARCO","MTS1","AV.VILLAGARCIA AROSA",9
"PREA2","PARQUE DE REAL","MTS1","AV.VILLAGARCIA AROSA",10
"QSEC2","QUINTA SECA","MTS1","AV.MERIGNAC",11
"HSPH2","HOSP. P. HISPANO","MTS1","R.DR.EDUARDO TORRES",12
"AZC2","AZENHA DE CIMA","MTS1","R.DR.EDUARDO TORRES",13
"PREC4","PRECIOSA","MTS1","R.DR.EDUARDO TORRES",14
"AZC3","AZENHA DE CIMA","PRT2","ESTR.CIRCUNVALAÇÃO",15
"HMGL5","HOSP.MAGALHÃES LEMOS","PRT2","R.ALVARO RODRIGUES",16
"LDSM2","LIDADOR-SOEIRO MENDES","PRT2","R.SOEIRO MENDES",17
"LDDM","LIDADOR / M. MONIZ","PRT2","R.LIDADOR",18
"REV2","REVILÃO","PRT2","R.LIDADOR",19
"BFTM2","BR. FONTE DA MOURA","PRT2","R.LIDADOR",20
"ANTG2","ANTUNES GUIMARÃES","PRT2","AV.VASCO GAMA",21
"CSR2","C. SAÚDE RAMALDE","PRT2","AV.VASCO GAMA",22
"BRCP2","BR. CAMPINAS","PRT2","AV.VASCO GAMA",23
"CRM1","CASA DE RAMALDE","PRT2","R.CRUZES",24
"RBSS2","ROT. DO BESSA","PRT1","AV.ASSOC.EMP.DE PORTUGAL",25
"SDP2","SIDÓNIO PAIS","PRT1","AV.SIDÓNIO PAIS",26
"MRS2","MOREIRA SÁ","PRT1","R.5 OUTUBRO",27
"BVCM3","BOAVISTA CEMITÉRIO","PRT1","PR.MOUZINHO ALBUQUERQUE",28
"BS2","BOAVISTA - B.SUCESSO","PRT1","LGO.FERREIRA LAPA",29
"PRG2","PR. DA GALIZA","PRT1","R.JÚLIO DINIS",30
"PAL4","PALÁCIO","PRT1","R.D.MANUEL II",31
"HSA","HOSP.STO. ANTÓNIO","PRT1","R.ALBERTO AIRES GOUVEIA",32
"CORD4","CORDOARIA","PRT1","C.MÁRTIRES PÁTRIA",33
"1LOI3","LÓIOS","PRT1","R.CLÉRIGOS",34
"AL2","AV. ALIADOS","PRT1","AV.ALIADOS",35
"TRD4","TRINDADE","PRT1","R.TRINDADE",36
"AAL1","AV.ALIADOS","PRT1","AV.ALIADOS",37
