code,name,zone,address,sequence
"HSJ6","HOSP. S. JOÃO (URGÊNCIA)","PRT3","ALAM.HERNÂNI MONTEIRO",1
"ESED2","ESC. SUP. EDUCAÇÃO","PRT3","R.DR.ROBERTO FRIAS",2
"FEUP2","FACULDADE DE ENGENHARIA","PRT3","R.DR.ROBERTO FRIAS",3
"FEP1","FACULDADE DE ECONOMIA","PRT3","R.DR.ROBERTO FRIAS",4
"CPRN4","CEMITÉRIO PARANHOS","PRT3","R.DR.MANUEL PEREIRA SILVA",5
"IPRN2","IGREJA DE PARANHOS","PRT3","R.IGREJA PARANHOS",6
"CVLO","COVELO","PRT1","R.COVÊLO",7
"CONS2","CONSTITUIÇÃO","PRT1","R.CANTOR ZECA AFONSO",8
"HSM","HOSP. S.TA MARIA","PRT1","R.CAMÕES",9
"PRSM2","PARAÍSO (METRO)","PRT1","R.CAMÕES",10
"GCRT2","GONÇALO CRISTÓVÃO","PRT1","R.CAMÕES",11
"TRD5","TRINDADE","PRT1","R.CAMÕES",12
"AL7","AV. ALIADOS","PRT1","AV.ALIADOS",13
"MS2","MOUZINHO SILVEIRA","PRT1","R.MOUZINHO SILVEIRA",14
"RBR1","RIBEIRA","PRT1","R.INFANTE D.HENRIQUE",15
"ELVG1","ELEVADOR GUINDAIS","PRT1","AV.GUSTAVO EIFFEL",16
"PLU3","PONTE LUÍZ I","VNG1","R.GEN.TORRES",17
"GNR3","GNR","VNG1","R.GEN.TORRES",18
"CM5","CAMÕES","VNG1","R.LUÍS CAMÕES",19
"GENT2","GENERAL TORRES","VNG1","AV.REPÚBLICA",20
"DSRR1","DANIEL SERRÃO","VNG1","AV. REPÚBLICA",21
"TRBG1","TRIBUNAL DE GAIA","VNG1","R.CONS.VELOSO CRUZ",22
"DISP1","DISPENSÁRIO","VNG1","R.CONS.VELOSO CRUZ",23
"DVE2","DEVESAS (ESTAÇÃO)","VNG1","R.BARÃO CORVO",24
"MRI2","MARIANI","VNG1","R.BARÃO CORVO",25
"APRD2","ARCO DO PRADO","VNG1","R.BARÃO CORVO",26
"CMSM1","CEMITÉRIO STA. MARINHA","VNG1","AV.ENG.LUDGERO MARQUES",27
"BVC2","B.V. COIMBRÕES","VNG1","AV.ENG.LUDGERO MARQUES",28
"LV1","LAVOURAS","VNG1","R.MACHADO SANTOS",29
"COB4","COIMBRÕES","VNG1","R.CALHEIROS LOBO",30
"AGOM1","AUGUSTO GOMES","VNG1","R.AUGUSTO GOMES",31
"RMT1","R. DAS MATAS","VNG1","R.ENTRE MUROS",32
"QBV1","QUINTA BELA VISTA","VNG4","AV.GOMES JUNIOR",33
