code,name,zone,address,sequence
"QBV2","QUINTA BELA VISTA","VNG4","AV.GOMES JUNIOR",1
"RMT2","R. DAS MATAS","VNG1","R.DR.DOMINGOS MATOS",2
"LGDM2","L. DOMINGOS MATOS","VNG1","R.DR.DOMINGOS MATOS",3
"COB3","COIMBRÕES","VNG1","R.CALHEIROS LOBO",4
"COB6","COIMBRÕES 1","VNG1","R.BARÃO CORVO",5
"RGR1","REGUEIRA","VNG1","R.BARÃO CORVO",6
"APRD1","ARCO DO PRADO","VNG1","R.BARÃO CORVO",7
"MRI1","MARIANI","VNG1","R.BARÃO CORVO",8
"DVE3","DEVESAS (ESTAÇÃO)","VNG1","LGO.5 OUTUBRO",9
"DISP2","DISPENSÁRIO","VNG1","R.CONS.VELOSO CRUZ",10
"TRBG2","TRIBUNAL DE GAIA","VNG1","R.CONSELHEIRO VELOSO CRUZ",11
"HG3","HOSP. GAIA","VNG1","AV.ESCULTORES",12
"GENT","GENERAL TORRES","VNG1","R.JÁU",13
"CM3","CAMÕES","VNG1","R.GEN.TORRES",14
"GNR2","GNR","VNG1","R.GEN.TORRES",15
"PLU2","PONTE LUÍZ I","VNG1","R.GEN.TORRES",16
"ELVG2","ELEVADOR GUINDAIS","PRT1","AV.GUSTAVO EIFFEL",17
"RBR2","RIBEIRA","PRT1","R.INFANTE D.HENRIQUE",18
"MS1","MOUZINHO SILVEIRA","PRT1","R.MOUZINHO SILVEIRA",19
"SBNT3","EST. S.BENTO","PRT1","R.MOUZINHO SILVEIRA",20
"PRDJ","PR. D. JOÃO I","PRT1","R.DR.MAGALHÃES LEMOS",21
"AAL2","AV. ALIADOS","PRT1","AV.ALIADOS",22
"TRD1","TRINDADE","PRT1","R.TRINDADE",23
"GCRT1","GONÇALO CRISTÓVÃO","PRT1","R.DR.ALFREDO MAGALHÃES",24
"PRSM1","PARAÍSO (METRO)","PRT1","R.FARIA GUIMARÃES",25
"HSM1","HOSP. S.TA MARIA","PRT1","R.FARIA GUIMARÃES",26
"CONS1","CONSTITUIÇÃO","PRT1","R.FARIA GUIMARÃES",27
"CVLO1","COVELO","PRT1","R.FARIA GUIMARÃES",28
"IPRN1","IGREJA DE PARANHOS","PRT3","LGO.IGREJA PARANHOS",29
"ISEP3","ISEP/AGRA","PRT3","R.ANT.BERNARDINO ALMEIDA",30
"ISEP1","I.S.E.P.","PRT3","R.S.TOMÉ",31
"IB3","ILHA BRAVA","PRT3","R.S.TOMÉ",32
"ST3","S. TOMÉ","PRT3","R.S.TOMÉ",33
"IPO4","IPO (CIRCUNVAL.)","PRT3","ESTR.CIRCUNVALAÇÃO",34
"HSJ6","HOSP. S. JOÃO (URGÊNCIA)","PRT3","ALAM.HERNÂNI MONTEIRO",35
