code,name,zone,address,sequence
"MAIA","MAIA","MAI1","AV.VISCONDE BARREIROS",1
"VIS","VISO","MAI1","R.SANTA CASA MESERICORDIA MAIA",2
"PSP1","PSP","MAI1","R.AUGUSTO MARTINS",3
"IMAI2","IGREJA DA MAIA","MAI1","AV.ANTÓNIO SANTOS LEITE",4
"SL1","SANTOS LEITE","MAI1","AV.ANTÓNIO SANTOS LEITE",5
"LVR2","ROT.LAVRADOR","MAI1","R.AUGUSTO SIMÕES",6
"CBN2","COMBONIANOS","MAI1","R.AUGUSTO SIMÕES",7
"CTSS2","CATASSOL","MAI1","R.DE CATASSOL",8
"AAX2","ANTONIO ALEIXO","MAI1","R.DE CATASSOL",9
"SRSD2","S.RA DA SAÚDE","MAI1","R.SANTANA",10
"STN2","SANTANA","MAI1","R.SANTANA",11
"TF2","TV. FEIRA","MAI1","R.SANTANA",12
"PRNT","PAULO RANITO","MAI1","R.SANTANA",13
"PMQ2","PEDRO MESQUITA","MAI1","R.SANTANA",14
"PP2","PONTE DA PEDRA","MAI1","R.GODINHO FARIA",15
"ASZ2","ABEL SALAZAR","MAI1","R.GODINHO FARIA",16
"CSSM2","C. SAÚDE S. MAMEDE","MAI1","R.GODINHO FARIA",17
"SM2","SÁ E MELO","MAI1","R.GODINHO FARIA",18
"SMM2","S. MAMEDE","MAI1","R.GODINHO FARIA",19
"SMMM2","S. MAMEDE (MERCADO)","MAI1","R.SILVA BRINCO",20
"FLOS2","FLORES","MAI1","R.SILVA BRINCO",21
"TLHO2","TELHEIRO","MAI1","R.SILVA BRINCO",22
"AML4","AMIAL","MAI1","R.AMIAL",23
"AZ","AZENHA","PRT3","R.AMIAL",24
"BLG2","BERLENGAS","PRT3","R.AMIAL",25
"TLHR2","TELHEIRA","PRT3","R.AMIAL",26
"CAM3","CARLOS AMARANTE","PRT3","R.AMIAL",27
"CI32","CINTURA INTERNA","PRT1","R.AMIAL",28
"ADA3","ARCA D ÁGUA","PRT1","R.VALE FORMOSO",29
"CSP2","C. SAÚDE PARANHOS","PRT1","R.VALE FORMOSO",30
"VFM6","VALE FORMOSO","PRT1","R.VALE FORMOSO",31
"CNTT2","CONSTITUIÇÃO","PRT1","R.ANTERO QUENTAL",32
"HSM4","HOSP. S.TA MARIA","PRT1","R.ANTERO QUENTAL",33
"LAPA2","LAPA","PRT1","LGO.LAPA",34
"PRR5","PR. DA REPÚBLICA","PRT1","PR.REPÚBLICA",35
"TRD5","TRINDADE","PRT1","R.CAMÕES",36
"AAL1","AV.ALIADOS","PRT1","AV.ALIADOS",37
"AAL2","AV. ALIADOS","PRT1","AV.ALIADOS",38
